Time [s],Channel 0,Channel 1,Channel 2
0.000000000,1,1,1
0.004414250,1,1,0
0.004415250,1,0,0
0.004416000,0,0,0
0.004416500,0,1,0
0.004422500,0,0,0
0.004423750,0,1,0
0.004429500,0,0,0
0.004430750,0,1,0
0.004448750,0,0,0
0.004450000,0,1,0
0.004456000,0,0,0
0.004457250,0,1,0
0.004463000,0,0,0
0.004464250,0,1,0
0.004470250,0,0,0
0.004470750,1,0,0
0.004471500,1,1,0
0.004477250,1,0,0
0.004478000,0,0,0
0.004478500,0,1,0
0.004485000,1,1,0
0.004486000,1,1,1
0.010420250,1,1,0
0.010421250,1,0,0
0.010421750,0,0,0
0.010422250,0,1,0
0.010428250,0,0,0
0.010429500,0,1,0
0.010435250,0,0,0
0.010436500,0,1,0
0.010454500,0,0,0
0.010455750,0,1,0
0.010461750,0,0,0
0.010463000,0,1,0
0.010468750,0,0,0
0.010470000,0,1,0
0.010476000,0,0,0
0.010476500,1,0,0
0.010477250,1,1,0
0.010483000,1,0,0
0.010484250,1,1,0
0.010492000,1,0,0
0.010492500,0,0,0
0.010493250,0,1,0
0.010499000,0,0,0
0.010500250,0,1,0
0.010506250,0,0,0
0.010507250,0,1,0
0.010513250,0,0,0
0.010514500,0,1,0
0.010520250,0,0,0
0.010521500,0,1,0
0.010527500,0,0,0
0.010528250,1,0,0
0.010528750,1,1,0
0.010534500,1,0,0
0.010535250,0,0,0
0.010535750,0,1,0
0.010541750,0,0,0
0.010543000,0,1,0
0.010549250,1,1,0
0.010550250,1,1,1
0.016426250,1,1,0
0.016427250,1,0,0
0.016428500,1,1,0
0.016434500,1,0,0
0.016435000,0,0,0
0.016435750,0,1,0
0.016441500,0,0,0
0.016442750,0,1,0
0.016460750,0,0,0
0.016462000,0,1,0
0.016468000,0,0,0
0.016469250,0,1,0
0.016475000,0,0,0
0.016476250,0,1,0
0.016482250,0,0,0
0.016482750,1,0,0
0.016483500,1,1,0
0.016489250,1,0,0
0.016490500,1,1,0
0.016498000,1,0,0
0.016498750,0,0,0
0.016499250,0,1,0
0.016505250,0,0,0
0.016506500,0,1,0
0.016512250,0,0,0
0.016513500,0,1,0
0.016519500,0,0,0
0.016520750,0,1,0
0.016526500,0,0,0
0.016527750,0,1,0
0.016533750,0,0,0
0.016535000,0,1,0
0.016540750,0,0,0
0.016542000,0,1,0
0.016548000,0,0,0
0.016549000,0,1,0
0.016555500,1,1,0
0.016556500,1,1,1
0.022432000,1,1,0
0.022433000,1,0,0
0.022434250,1,1,0
0.022440000,1,0,0
0.022441250,1,1,0
0.022447250,1,0,0
0.022447750,0,0,0
0.022448500,0,1,0
0.022466500,0,0,0
0.022467250,1,0,0
0.022467750,1,1,0
0.022473500,1,0,0
0.022474250,0,0,0
0.022474750,0,1,0
0.022480750,0,0,0
0.022482000,0,1,0
0.022487750,0,0,0
0.022489000,0,1,0
0.022495000,0,0,0
0.022495500,1,0,0
0.022496250,1,1,0
0.022503500,1,1,1
0.029438750,1,1,0
0.029439750,1,0,0
0.029440250,0,0,0
0.029441000,0,1,0
0.029446750,0,0,0
0.029447500,1,0,0
0.029448000,1,1,0
0.029454000,1,0,0
0.029454500,0,0,0
0.029455250,0,1,0
0.029473250,0,0,0
0.029474500,0,1,0
0.029480250,0,0,0
0.029481500,0,1,0
0.029487500,0,0,0
0.029488750,0,1,0
0.029494500,0,0,0
0.029495250,1,0,0
0.029495750,1,1,0
0.029501750,1,0,0
0.029502250,0,0,0
0.029503000,0,1,0
0.029509250,1,1,0
0.029527250,0,0,0
0.029533250,0,1,0
0.029539500,0,0,0
0.029545500,0,1,0
0.029552000,0,0,0
0.029558000,0,1,0
0.029564500,0,0,0
0.029570500,0,1,0
0.029576750,0,0,0
0.029582750,0,1,0
0.029589250,0,0,0
0.029595250,0,1,0
0.029601500,0,0,0
0.029607500,0,1,0
0.029614000,0,0,0
0.029620000,0,1,0
0.029627500,0,0,0
0.029633500,0,1,0
0.029640000,0,0,0
0.029646000,0,1,0
0.029652500,0,0,0
0.029658500,0,1,0
0.029664750,0,0,0
0.029670750,0,1,0
0.029677250,0,0,0
0.029683250,0,1,0
0.029689500,0,0,0
0.029695500,0,1,0
0.029702000,0,0,0
0.029708000,0,1,0
0.029714250,0,0,0
0.029720250,0,1,0
0.029728000,0,0,0
0.029734000,0,1,0
0.029740250,0,0,0
0.029746250,0,1,0
0.029752750,0,0,0
0.029758750,0,1,0
0.029765250,1,0,0
0.029771250,1,1,0
0.029777500,0,0,0
0.029783500,0,1,0
0.029790000,0,0,0
0.029796000,0,1,0
0.029802250,0,0,0
0.029808250,0,1,0
0.029814750,0,0,0
0.029820750,0,1,0
0.029828500,0,0,0
0.029834500,0,1,0
0.029840750,0,0,0
0.029846750,0,1,0
0.029853250,0,0,0
0.029859250,0,1,0
0.029865500,0,0,0
0.029871500,0,1,0
0.029878000,0,0,0
0.029884000,0,1,0
0.029890250,0,0,0
0.029896250,0,1,0
0.029902750,0,0,0
0.029908750,0,1,0
0.029915000,0,0,0
0.029921000,0,1,0
0.029928750,0,0,0
0.029934750,0,1,0
0.029941250,0,0,0
0.029947250,0,1,0
0.029953500,0,0,0
0.029959500,0,1,0
0.029966000,0,0,0
0.029972000,0,1,0
0.029978250,0,0,0
0.029984250,0,1,0
0.029990750,0,0,0
0.029996750,0,1,0
0.030003000,0,0,0
0.030009000,0,1,0
0.030015500,0,0,0
0.030021500,0,1,0
0.030028750,0,1,1
0.030029000,1,1,1
0.036447750,1,1,0
0.036448750,1,0,0
0.036450000,1,1,0
0.036455750,1,0,0
0.036457000,1,1,0
0.036463000,1,0,0
0.036463500,0,0,0
0.036464250,0,1,0
0.036482250,0,0,0
0.036483500,0,1,0
0.036489500,0,0,0
0.036490750,0,1,0
0.036496500,0,0,0
0.036497750,0,1,0
0.036503750,0,0,0
0.036505000,0,1,0
0.036510750,0,0,0
0.036512000,0,1,0
0.036518500,1,1,0
0.036519500,1,1,1
0.042454250,1,1,0
0.042455250,1,0,0
0.042455750,0,0,0
0.042456500,0,1,0
0.042462250,0,0,0
0.042463500,0,1,0
0.042469500,0,0,0
0.042470750,0,1,0
0.042488750,0,0,0
0.042490000,0,1,0
0.042495750,0,0,0
0.042497000,0,1,0
0.042503000,0,0,0
0.042504250,0,1,0
0.042510000,0,0,0
0.042510750,1,0,0
0.042511250,1,1,0
0.042517250,1,0,0
0.042517750,0,0,0
0.042518500,0,1,0
0.042524750,1,1,0
0.042526000,1,1,1
0.048460500,1,1,0
0.048461500,1,0,0
0.048462000,0,0,0
0.048462750,0,1,0
0.048468500,0,0,0
0.048469750,0,1,0
0.048475750,0,0,0
0.048477000,0,1,0
0.048495000,0,0,0
0.048496250,0,1,0
0.048502000,0,0,0
0.048503250,0,1,0
0.048509250,0,0,0
0.048510500,0,1,0
0.048516250,0,0,0
0.048517000,1,0,0
0.048517500,1,1,0
0.048523500,1,0,0
0.048524750,1,1,0
0.048532250,1,0,0
0.048532750,0,0,0
0.048533500,0,1,0
0.048539250,0,0,0
0.048540500,0,1,0
0.048546500,0,0,0
0.048547750,0,1,0
0.048553500,0,0,0
0.048554750,0,1,0
0.048560750,0,0,0
