Time [s],Channel 0,Channel 1,Channel 2
0.000000000,1,1,1
0.003766500,1,1,0
0.003767500,1,0,0
0.003768750,1,1,0
0.003774500,1,0,0
0.003775250,0,0,0
0.003775750,0,1,0
0.003781750,0,0,0
0.003783000,0,1,0
0.003801250,0,0,0
0.003802500,0,1,0
0.003808500,0,0,0
0.003809750,0,1,0
0.003815500,0,0,0
0.003816750,0,1,0
0.003822750,0,0,0
0.003823250,1,0,0
0.003824000,1,1,0
0.003829750,1,0,0
0.003831000,1,1,0
0.003838750,1,0,0
0.003839250,0,0,0
0.003840000,0,1,0
0.003845750,0,0,0
0.003847000,0,1,0
0.003853000,0,0,0
0.003854000,0,1,0
0.003860000,0,0,0
0.003861250,0,1,0
0.003867000,0,0,0
0.003868250,0,1,0
0.003874250,0,0,0
0.003875500,0,1,0
0.003881250,0,0,0
0.003882500,0,1,0
0.003888500,0,0,0
0.003889750,0,1,0
0.003896000,1,1,0
0.003897000,1,1,1
0.009773500,1,1,0
0.009774500,1,0,0
0.009775750,1,1,0
0.009781500,1,0,0
0.009782750,1,1,0
0.009788750,1,0,0
0.009789250,0,0,0
0.009790000,0,1,0
0.009808500,0,0,0
0.009809000,1,0,0
0.009809750,1,1,0
0.009815500,1,0,0
0.009816250,0,0,0
0.009816750,0,1,0
0.009822750,0,0,0
0.009824000,0,1,0
0.009829750,0,0,0
0.009831000,0,1,0
0.009837000,0,0,0
0.009837500,1,0,0
0.009838000,1,1,0
0.009845500,1,1,1
0.016782250,1,1,0
0.016783250,1,0,0
0.016783750,0,0,0
0.016784250,0,1,0
0.016790250,0,0,0
0.016791000,1,0,0
0.016791500,1,1,0
0.016797500,1,0,0
0.016798000,0,0,0
0.016798500,0,1,0
0.016817000,0,0,0
0.016818250,0,1,0
0.016824250,0,0,0
0.016825500,0,1,0
0.016831250,0,0,0
0.016832500,0,1,0
0.016838500,0,0,0
0.016839000,1,0,0
0.016839750,1,1,0
0.016845500,1,0,0
0.016846250,0,0,0
0.016846750,0,1,0
0.016853250,1,1,0
0.016871250,0,0,0
0.016877000,0,1,0
0.016883500,0,0,0
0.016889500,0,1,0
0.016896000,0,0,0
0.016902000,0,1,0
0.016908250,0,0,0
0.016914250,0,1,0
0.016920750,0,0,0
0.016926750,0,1,0
0.016933000,0,0,0
0.016939000,0,1,0
0.016945500,0,0,0
0.016951500,0,1,0
0.016958000,0,0,0
0.016964000,0,1,0
0.016971500,0,0,0
0.016977500,0,1,0
0.016984000,0,0,0
0.016990000,0,1,0
0.016996500,0,0,0
0.017002250,0,1,0
0.017008750,0,0,0
0.017014750,0,1,0
0.017021250,0,0,0
0.017027250,0,1,0
0.017033500,0,0,0
0.017039500,0,1,0
0.017046000,0,0,0
0.017052000,0,1,0
0.017058500,0,0,0
0.017064250,0,1,0
0.017072000,0,0,0
0.017078000,0,1,0
0.017084500,0,0,0
0.017090500,0,1,0
0.017096750,0,0,0
0.017102750,0,1,0
0.017109250,0,0,0
0.017115250,0,1,0
0.017121750,0,0,0
0.017127750,0,1,0
0.017134000,0,0,0
0.017140000,0,1,0
0.017146500,0,0,0
0.017152500,0,1,0
0.017158750,0,0,0
0.017164750,0,1,0
0.017172500,0,0,0
0.017178500,0,1,0
0.017185000,0,0,0
0.017191000,0,1,0
0.017197250,0,0,0
0.017203250,0,1,0
0.017209750,0,0,0
0.017210000,1,0,0
0.017215750,1,1,0
0.017222250,0,0,0
0.017228250,0,1,0
0.017234500,0,0,0
0.017240500,0,1,0
0.017247000,0,0,0
0.017253000,0,1,0
0.017259250,0,0,0
0.017265250,0,1,0
0.017273000,0,0,0
0.017279000,0,1,0
0.017285500,0,0,0
0.017291500,0,1,0
0.017297750,0,0,0
0.017303750,0,1,0
0.017310250,0,0,0
0.017316250,0,1,0
0.017322500,0,0,0
0.017328500,0,1,0
0.017335000,0,0,0
0.017341000,0,1,0
0.017347500,0,0,0
0.017353250,0,1,0
0.017359750,0,0,0
0.017365750,0,1,0
0.017373000,0,1,1
0.017373250,1,1,1
0.023791250,1,1,0
0.023792250,1,0,0
0.023793500,1,1,0
0.023799250,1,0,0
0.023800500,1,1,0
0.023806500,1,0,0
0.023807000,0,0,0
0.023807750,0,1,0
0.023826000,0,0,0
0.023827250,0,1,0
0.023833250,0,0,0
0.023834500,0,1,0
0.023840250,0,0,0
0.023841500,0,1,0
0.023847500,0,0,0
0.023848750,0,1,0
0.023854500,0,0,0
0.023855750,0,1,0
0.023862250,1,1,0
0.023863250,1,1,1
0.029798750,1,1,0
